bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
000da3152b7b5ab1,d1a1314976c50bef,3,Josh Neer,0,-2,0.0,-6.0,1,-1,3.0,-3.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0
000da3152b7b5ab1,d1a1314976c50bef,2,Josh Neer,1,0,3.0,0.0,2,-1,6.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
000da3152b7b5ab1,d1a1314976c50bef,1,Josh Neer,0,-1,0.0,-3.0,0,-2,0.0,-6.0,0,0,0.0,0.0,1,1,3.0,3.0,0,-1,0.0,-3.0
0019ec81fd706ade,85073dbd1be65ed9,1,Greg Hardy,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
0019ec81fd706ade,85073dbd1be65ed9,2,Greg Hardy,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
0019ec81fd706ade,85073dbd1be65ed9,3,Greg Hardy,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
0027e179b743c86c,91ea901c458e95dd,1,Jared Rosholt,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
0027e179b743c86c,91ea901c458e95dd,2,Jared Rosholt,1,1,3.0,3.0,4,4,12.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
0027e179b743c86c,91ea901c458e95dd,3,Jared Rosholt,1,1,4.6875,4.6875,1,1,4.6875,4.6875,0,0,0.0,0.0,0,0,0.0,0.0,1,1,4.6875,4.6875
002921976d27b7da,ebc1f40e00e0c481,1,Stefan Struve,0,-1,0.0,-3.5573122529644263,0,-2,0.0,-7.114624505928853,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
002c1562708ac307,44470bfd9483c7ad,1,Katsunori Kikuno,0,-1,0.0,-3.658536585365854,0,-2,0.0,-7.317073170731708,0,-1,0.0,-3.658536585365854,1,1,3.658536585365854,3.658536585365854,0,-1,0.0,-3.658536585365854
002cb1bb411c5f60,d897897060f10a3a,4,Rich Franklin,1,1,3.0,3.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
002cb1bb411c5f60,d897897060f10a3a,5,Rich Franklin,2,1,6.0,3.0,2,1,6.0,3.0,0,0,0.0,0.0,1,1,3.0,3.0,5,5,15.0,15.0
002cb1bb411c5f60,d897897060f10a3a,2,Rich Franklin,1,1,3.0,3.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
002cb1bb411c5f60,d897897060f10a3a,3,Rich Franklin,1,1,3.0,3.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,3,3,9.0,9.0
002cb1bb411c5f60,d897897060f10a3a,1,Rich Franklin,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
0031c043c9f14eb8,f9f07bb5a43535ed,2,Carlos Condit,0,0,0.0,0.0,2,0,6.0,0.0,0,0,0.0,0.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
0031c043c9f14eb8,f9f07bb5a43535ed,3,Carlos Condit,0,0,0.0,0.0,0,-2,0.0,-6.14334470989761,1,1,3.071672354948805,3.071672354948805,1,1,3.071672354948805,3.071672354948805,5,5,15.358361774744026,15.358361774744026
0031c043c9f14eb8,f9f07bb5a43535ed,1,Carlos Condit,0,-3,0.0,-9.0,0,-4,0.0,-12.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
003c84fc7c3fa028,873626e5547b5235,1,Kyle Prepolec,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
003c84fc7c3fa028,873626e5547b5235,2,Kyle Prepolec,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
003c84fc7c3fa028,873626e5547b5235,3,Kyle Prepolec,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
004885f7983f4658,31123249b0bbf52e,1,Matt Brown,0,0,0.0,0.0,1,1,3.0,3.0,1,1,3.0,3.0,0,0,0.0,0.0,0,-1,0.0,-3.0
