bout_id,fighter_id,round,fighter,d_ss_s,d_ss_s_pr_di,d_ss_s_p15m,d_ss_s_p15m_di,d_ss_a,d_ss_a_pr_di,d_ss_a_p15m,d_ss_a_p15m_di,c_ss_s,c_ss_s_pr_di,c_ss_s_p15m,c_ss_s_p15m_di,c_ss_a,c_ss_a_pr_di,c_ss_a_p15m,c_ss_a_p15m_di,g_ss_s,g_ss_s_pr_di,g_ss_s_p15m,g_ss_s_p15m_di,g_ss_a,g_ss_a_pr_di,g_ss_a_p15m,g_ss_a_p15m_di
11f715fa5e825e51,e1147d3d2dabe1ce,1,Robert Whittaker,10,4,30.0,12.0,29,11,87.0,33.0,1,-2,3.0,-6.0,1,-2,3.0,-6.0,0,-3,0.0,-9.0,0,-3,0.0,-9.0
11f715fa5e825e51,e1147d3d2dabe1ce,2,Robert Whittaker,10,7,30.0,21.0,23,11,69.0,33.0,0,0,0.0,0.0,0,0,0.0,0.0,5,5,15.0,15.0,7,7,21.0,21.0
11f715fa5e825e51,e1147d3d2dabe1ce,3,Robert Whittaker,11,6,33.0,18.0,30,10,90.0,30.0,2,1,6.0,3.0,2,1,6.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0
11f715fa5e825e51,e1147d3d2dabe1ce,4,Robert Whittaker,12,6,36.0,18.0,31,15,93.0,45.0,1,-1,3.0,-3.0,3,0,9.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
11f715fa5e825e51,e1147d3d2dabe1ce,5,Robert Whittaker,14,3,42.0,9.0,26,5,78.0,15.0,3,2,9.0,6.0,5,3,15.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0
a3820f1eb82f2ba6,73e09f837f3b5ecc,1,Rogerio Nogueira,13,2,39.0,6.0,30,-1,90.0,-3.0,0,-5,0.0,-15.0,0,-5,0.0,-15.0,0,0,0.0,0.0,0,0,0.0,0.0
a3820f1eb82f2ba6,73e09f837f3b5ecc,2,Rogerio Nogueira,10,-4,30.0,-12.0,34,4,102.0,12.0,1,0,3.0,0.0,1,0,3.0,0.0,4,4,12.0,12.0,4,4,12.0,12.0
a3820f1eb82f2ba6,73e09f837f3b5ecc,3,Rogerio Nogueira,18,-2,54.0,-6.0,31,1,93.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-3,0.0,-9.0,0,-6,0.0,-18.0
f786136e55007e17,492b202d2064e7a9,1,Fabricio Werdum,3,-1,18.0,-6.0,4,-8,24.0,-48.0,0,0,0.0,0.0,0,0,0.0,0.0,1,-6,6.0,-36.0,1,-6,6.0,-36.0
5632f2364016e879,d910665038efc639,1,Carla Esparza,0,-2,0.0,-6.0,0,-8,0.0,-24.0,0,0,0.0,0.0,0,0,0.0,0.0,8,-10,24.0,-30.0,12,-13,36.0,-39.0
5632f2364016e879,d910665038efc639,2,Carla Esparza,1,-7,3.0,-21.0,8,-10,24.0,-30.0,0,0,0.0,0.0,0,-1,0.0,-3.0,6,0,18.0,0.0,11,1,33.0,3.0
