bout_id,fighter_id,round,fighter,h_ss_s,h_ss_s_pr_di,h_ss_s_p15m,h_ss_s_p15m_di,h_ss_a,h_ss_a_pr_di,h_ss_a_p15m,h_ss_a_p15m_di,b_ss_s,b_ss_s_pr_di,b_ss_s_p15m,b_ss_s_p15m_di,b_ss_a,b_ss_a_pr_di,b_ss_a_p15m,b_ss_a_p15m_di,l_ss_s,l_ss_s_pr_di,l_ss_s_p15m,l_ss_s_p15m_di,l_ss_a,l_ss_a_pr_di,l_ss_a_p15m,l_ss_a_p15m_di
000da3152b7b5ab1,d1a1314976c50bef,3,Josh Neer,5,-1,15.0,-3.0,9,-11,27.0,-33.0,0,-2,0.0,-6.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0
000da3152b7b5ab1,d1a1314976c50bef,2,Josh Neer,7,0,21.0,0.0,18,-1,54.0,-3.0,0,-5,0.0,-15.0,1,-5,3.0,-15.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
000da3152b7b5ab1,d1a1314976c50bef,1,Josh Neer,5,-4,15.0,-12.0,9,-24,27.0,-72.0,1,-1,3.0,-3.0,1,-2,3.0,-6.0,1,-2,3.0,-6.0,1,-2,3.0,-6.0
0019ec81fd706ade,85073dbd1be65ed9,1,Greg Hardy,12,9,36.0,27.0,31,9,93.0,27.0,0,-5,0.0,-15.0,0,-9,0.0,-27.0,7,6,21.0,18.0,8,7,24.0,21.0
0019ec81fd706ade,85073dbd1be65ed9,2,Greg Hardy,5,0,15.0,0.0,18,-13,54.0,-39.0,3,1,9.0,3.0,3,-1,9.0,-3.0,10,10,30.0,30.0,10,10,30.0,30.0
0019ec81fd706ade,85073dbd1be65ed9,3,Greg Hardy,5,-2,15.0,-6.0,23,-2,69.0,-6.0,2,-1,6.0,-3.0,2,-3,6.0,-9.0,10,10,30.0,30.0,10,10,30.0,30.0
0027e179b743c86c,91ea901c458e95dd,1,Jared Rosholt,4,1,12.0,3.0,10,-3,30.0,-9.0,1,-1,3.0,-3.0,1,-1,3.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0
0027e179b743c86c,91ea901c458e95dd,2,Jared Rosholt,9,6,27.0,18.0,20,3,60.0,9.0,2,2,6.0,6.0,3,3,9.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0
0027e179b743c86c,91ea901c458e95dd,3,Jared Rosholt,6,5,28.124999999999996,23.437499999999996,11,7,51.5625,32.8125,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
002921976d27b7da,ebc1f40e00e0c481,1,Stefan Struve,0,-12,0.0,-42.68774703557312,3,-15,10.67193675889328,-53.35968379446639,2,-3,7.114624505928853,-10.671936758893281,2,-4,7.114624505928853,-14.229249011857707,0,0,0.0,0.0,0,-1,0.0,-3.5573122529644263
002c1562708ac307,44470bfd9483c7ad,1,Katsunori Kikuno,17,-18,62.19512195121951,-65.85365853658539,37,-26,135.3658536585366,-95.1219512195122,4,3,14.634146341463415,10.975609756097562,5,3,18.29268292682927,10.975609756097562,1,-1,3.658536585365854,-3.658536585365854,2,0,7.317073170731708,0.0
002cb1bb411c5f60,d897897060f10a3a,4,Rich Franklin,19,17,57.0,51.0,40,27,120.0,81.0,5,4,15.0,12.0,7,4,21.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
002cb1bb411c5f60,d897897060f10a3a,5,Rich Franklin,5,4,15.0,12.0,13,10,39.0,30.0,6,3,18.0,9.0,6,2,18.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0
002cb1bb411c5f60,d897897060f10a3a,2,Rich Franklin,23,23,69.0,69.0,49,42,147.0,126.0,11,10,33.0,30.0,14,11,42.0,33.0,1,1,3.0,3.0,1,1,3.0,3.0
002cb1bb411c5f60,d897897060f10a3a,3,Rich Franklin,15,10,45.0,30.0,35,17,105.0,51.0,10,8,30.0,24.0,12,10,36.0,30.0,0,0,0.0,0.0,0,0,0.0,0.0
002cb1bb411c5f60,d897897060f10a3a,1,Rich Franklin,20,17,60.0,51.0,53,37,159.0,111.0,10,7,30.0,21.0,12,9,36.0,27.0,2,2,6.0,6.0,2,2,6.0,6.0
0031c043c9f14eb8,f9f07bb5a43535ed,2,Carlos Condit,10,-2,30.0,-6.0,47,16,141.0,48.0,5,3,15.0,9.0,7,5,21.0,15.0,8,6,24.0,18.0,10,8,30.0,24.0
0031c043c9f14eb8,f9f07bb5a43535ed,3,Carlos Condit,29,24,89.07849829351535,73.72013651877133,54,45,165.87030716723547,138.22525597269623,3,3,9.215017064846416,9.215017064846416,6,5,18.43003412969283,15.358361774744026,3,3,9.215017064846416,9.215017064846416,4,4,12.28668941979522,12.28668941979522
0031c043c9f14eb8,f9f07bb5a43535ed,1,Carlos Condit,4,-1,12.0,-3.0,23,3,69.0,9.0,2,0,6.0,0.0,9,5,27.0,15.0,8,7,24.0,21.0,10,9,30.0,27.0
003c84fc7c3fa028,873626e5547b5235,1,Kyle Prepolec,12,6,36.0,18.0,39,-3,117.0,-9.0,10,1,30.0,3.0,14,3,42.0,9.0,1,-9,3.0,-27.0,3,-8,9.0,-24.0
003c84fc7c3fa028,873626e5547b5235,2,Kyle Prepolec,10,-3,30.0,-9.0,44,-6,132.0,-18.0,8,1,24.0,3.0,10,-5,30.0,-15.0,2,-9,6.0,-27.0,5,-11,15.0,-33.0
003c84fc7c3fa028,873626e5547b5235,3,Kyle Prepolec,5,-8,15.0,-24.0,30,-3,90.0,-9.0,4,-7,12.0,-21.0,6,-7,18.0,-21.0,0,-10,0.0,-30.0,2,-8,6.0,-24.0
004885f7983f4658,31123249b0bbf52e,1,Matt Brown,14,-4,42.0,-12.0,49,1,147.0,3.0,8,3,24.0,9.0,11,3,33.0,9.0,0,-1,0.0,-3.0,1,0,3.0,0.0
004885f7983f4658,31123249b0bbf52e,2,Matt Brown,13,13,195.0,195.0,18,17,270.0,255.0,5,5,75.0,75.0,5,5,75.0,75.0,0,0,0.0,0.0,0,0,0.0,0.0
00494c77d2a88f8c,7ea1f74cef32f906,1,Rashid Magomedov,8,4,24.0,12.0,13,-6,39.0,-18.0,2,-11,6.0,-33.0,3,-14,9.0,-42.0,3,2,9.0,6.0,3,1,9.0,3.0
00494c77d2a88f8c,7ea1f74cef32f906,2,Rashid Magomedov,6,-1,18.0,-3.0,15,-3,45.0,-9.0,5,-1,15.0,-3.0,6,-6,18.0,-18.0,0,-7,0.0,-21.0,0,-7,0.0,-21.0
00494c77d2a88f8c,7ea1f74cef32f906,3,Rashid Magomedov,10,1,30.0,3.0,27,3,81.0,9.0,7,-2,21.0,-6.0,11,-4,33.0,-12.0,0,-4,0.0,-12.0,0,-6,0.0,-18.0
004b9368337d3cd6,d1152823307d7e7c,1,Rameau Thierry,7,6,21.0,18.0,27,9,81.0,27.0,6,1,18.0,3.0,6,1,18.0,3.0,13,13,39.0,39.0,13,13,39.0,39.0
