Method,Round,Time,Timeformat,Referee,details,event_link,link
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.Anders Ohlsson48 - 47.Ben Cartlidge48 - 47.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/11f715fa5e825e51
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.Anders Ohlsson48 - 47.Ben Cartlidge48 - 47.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/11f715fa5e825e51
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.Anders Ohlsson48 - 47.Ben Cartlidge48 - 47.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/11f715fa5e825e51
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.Anders Ohlsson48 - 47.Ben Cartlidge48 - 47.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/11f715fa5e825e51
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.Anders Ohlsson48 - 47.Ben Cartlidge48 - 47.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/11f715fa5e825e51
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.Anders Ohlsson48 - 47.Ben Cartlidge48 - 47.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/11f715fa5e825e51
Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby29 - 28.Mark Collett28 - 29.Ben Cartlidge29 - 28.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/a3820f1eb82f2ba6
Submission,1,2:30,3 Rnd (5-5-5),,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/f786136e55007e17
Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Clemens Werner30 - 27.Anders Ohlsson28 - 29.Ben Cartlidge29 - 28.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/5632f2364016e879
Submission,1,2:06,3 Rnd (5-5-5),Marc Goddard,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/74dae3d87a99cf5d
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Vito Paolillo30 - 27.Anders Ohlsson30 - 27.Ben Cartlidge30 - 27.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/58e07add007685f8
KO/TKO,1,3:09,3 Rnd (5-5-5),Rich Mitchell,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/573d3a6984cbcd29
KO/TKO,3,1:30,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/3b209a2aee014ac2
Submission,1,2:48,3 Rnd (5-5-5),Marc Goddard,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/407e1c6850e7022c
KO/TKO,1,0:45,3 Rnd (5-5-5),Daniel Movahedi,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/6cfab1da57d260f4
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby29 - 28.Vito Paolillo30 - 27.Lukasz Bosacki30 - 27.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/32b0e450b11b32fe
KO/TKO,2,2:36,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/88d3b6b833e31712
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,David Lethaby28 - 29.Clemens Werner27 - 30.Lukasz Bosacki27 - 30.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/54bbc7974df586a1
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Vito Paolillo29 - 28.Anders Ohlsson30 - 27.Ben Cartlidge30 - 27.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/87daaa6db4f6940c
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby30 - 27.Mark Collett30 - 27.Lukasz Bosacki30 - 27.,http://www.ufcstats.com/event-details/dde70a112e053a6c,http://www.ufcstats.com/fight-details/67db05bac9165722
Submission,1,4:48,5 Rnd (5-5-5-5-5),Marc Goddard,,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/4dc5039b21013b3a
Submission,1,1:18,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/fcfd2e6eed519cb9
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Anders Ohlsson28 - 29.Lukasz Bosacki28 - 29.David Lethaby27 - 30.,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/e5872dfa5b93fcbb
Submission,1,1:28,3 Rnd (5-5-5),Daniel Movahedi,,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/c4c379b8f99fea88
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Clemens Werner28 - 29.David Lethaby28 - 29.Lukasz Bosacki28 - 29.,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/ba4485ce4e8e3fe1
KO/TKO,1,4:15,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/e5a9f75b1117d848
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby29 - 27.Clemens Werner30 - 27.Anders Ohlsson30 - 26.,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/bb881d4ee6dfbf86
Submission,1,2:25,3 Rnd (5-5-5),Marc Goddard,,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/b76c0b0ed2926737
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Clemens Werner29 - 28.Anders Ohlsson29 - 28.Ben Cartlidge29 - 28.,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/b5f70d0c88f12645
Submission,1,4:42,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/b9b0da84b243213f
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Lukasz Bosacki28 - 29.Clemens Werner27 - 30.David Lethaby27 - 30.,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/ecb24300bb3bef8c
Decision - Majority,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Vito Paolillo27 - 29.Ben Cartlidge27 - 29.Anders Ohlsson28 - 28.,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,http://www.ufcstats.com/fight-details/147e31abbe3927d0
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,David Lethaby48 - 47.Mark Collett49 - 46.Ben Cartlidge49 - 46.,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/abeaae1a64934178
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Clemens Werner29 - 28.David Lethaby29 - 28.Ben Cartlidge29 - 28.,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/7dbf23cb872edc9c
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett29 - 28.Vito Paolillo30 - 27.Anders Ohlsson30 - 27.,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/d4c314616eac8f8b
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Lukasz Bosacki26 - 30.Anders Ohlsson27 - 30.David Lethaby27 - 30.,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/15def71ff1679e06
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Vito Paolillo28 - 29.Clemens Werner27 - 30.Ben Cartlidge27 - 30.,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/33d2a1dbb8a7fef5
Submission,2,1:12,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/7fd810af30144119
KO/TKO,1,4:18,3 Rnd (5-5-5),Rich Mitchell,,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/f3efc6121c5323ff
KO/TKO,1,5:00,3 Rnd (5-5-5),Daniel Movahedi,,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/0e969ae805006d1f
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Anders Ohlsson30 - 26.Ben Cartlidge30 - 26.Lukasz Bosacki30 - 26.,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/819f51ef9d945a46
Submission,1,2:43,3 Rnd (5-5-5),Rich Mitchell,,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/dccea04cc3567955
Submission,2,2:29,3 Rnd (5-5-5),Herb Dean,,http://www.ufcstats.com/event-details/18f5669a92e99d92,http://www.ufcstats.com/fight-details/f3c42ce9fad55eb7
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,David Lethaby49 - 46.Mark Collett50 - 45.Ben Cartlidge50 - 45.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/d292243c6499b2fe
Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Clemens Werner48 - 47.David Lethaby47 - 48.Mark Collett48 - 47.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/94b1596c6ff9a25d
KO/TKO,5,3:24,5 Rnd (5-5-5-5-5),Leon Roberts,,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/0f9be7ac405772f8
Decision - Split,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Vito Paolillo28 - 29.Mark Collett29 - 28.Anders Ohlsson28 - 29.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/e16f42a666e163d8
Submission,1,2:21,3 Rnd (5-5-5),Rich Mitchell,,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/6e0c1faaf40caf9a
KO/TKO,2,0:49,3 Rnd (5-5-5),Marc Goddard,,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/cd8cdb539deaa47f
Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Clemens Werner28 - 29.David Lethaby29 - 28.Lukasz Bosacki27 - 30.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/ce7cd2ec773bea7f
Submission,1,3:15,3 Rnd (5-5-5),Leon Roberts,,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/159646a9d2ae8ea5
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Clemens Werner29 - 26.Ben Cartlidge29 - 26.Lukasz Bosacki29 - 26.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/7c76c752c7abf2e0
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Anders Ohlsson30 - 27.David Lethaby30 - 26.Mark Collett30 - 27.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/137646de0ffd9c35
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Vito Paolillo29 - 28.Ben Cartlidge29 - 28.Lukasz Bosacki29 - 28.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/0e8d5c16eb9cb1cf
Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Clemens Werner30 - 26.Anders Ohlsson29 - 27.David Lethaby30 - 26.,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/08e48648e3504638
KO/TKO,3,2:38,3 Rnd (5-5-5),Rich Mitchell,,http://www.ufcstats.com/event-details/dbd198f780286aca,http://www.ufcstats.com/fight-details/5d6fb4acfe5cc8a1
Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Eric Colon48 - 46.Derek Cleary48 - 47.Sal D'amato48 - 47.,http://www.ufcstats.com/event-details/c32eab6c2119e989,http://www.ufcstats.com/fight-details/f8dd1e75978a3957
