Date,Location,Attendance,name,link
"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",0,UFC Fight Night: Whittaker vs. Till,http://www.ufcstats.com/event-details/dde70a112e053a6c
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",0,UFC Fight Night: Figueiredo vs. Benavidez 2,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",0,UFC Fight Night: Kattar vs. Ige,http://www.ufcstats.com/event-details/18f5669a92e99d92
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",0,UFC 251: Usman vs. Masvidal,http://www.ufcstats.com/event-details/dbd198f780286aca
"June 27, 2020","Las Vegas, Nevada, USA",0,UFC Fight Night: Poirier vs. Hooker,http://www.ufcstats.com/event-details/c32eab6c2119e989
"June 20, 2020","Las Vegas, Nevada, USA",0,UFC Fight Night: Blaydes vs. Volkov,http://www.ufcstats.com/event-details/2eab7a6c8b0ed8cc
"June 13, 2020","Las Vegas, Nevada, USA",0,UFC Fight Night: Eye vs. Calvillo,http://www.ufcstats.com/event-details/1e13936d708bcff7
"June 06, 2020","Las Vegas, Nevada, USA",0,UFC 250: Nunes vs. Spencer,http://www.ufcstats.com/event-details/4c12aa7ca246e7a4
"May 30, 2020","Las Vegas, Nevada, USA",0,UFC Fight Night: Woodley vs. Burns,http://www.ufcstats.com/event-details/14b9e0f2679a2205
"May 16, 2020","Jacksonville, Florida, USA",0,UFC Fight Night: Overeem vs. Harris,http://www.ufcstats.com/event-details/dfb965c9824425db
"May 13, 2020","Jacksonville, Florida, USA",0,UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/event-details/5f8e00c27b7e7410
"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/event-details/898337ef520fe4d3
"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/event-details/53278852bcd91e11
"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/event-details/0b5b6876c2a4723f
"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/event-details/fc9a9559a05f2704
"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/event-details/33b2f68ef95252e0
"February 15, 2020","Rio Rancho, New Mexico, USA","6,449",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/event-details/5df17b3620145578
"February 08, 2020","Houston, Texas, USA","17,401",UFC 247: Jones vs. Reyes,http://www.ufcstats.com/event-details/b26d3e3746fb4024
"January 25, 2020","Raleigh, North Carolina, USA","14,533",UFC Fight Night: Blaydes vs. Dos Santos,http://www.ufcstats.com/event-details/44aa652b181bcf68
"January 18, 2020","Las Vegas, Nevada, USA","19,040",UFC 246: McGregor vs. Cowboy,http://www.ufcstats.com/event-details/0c1773639c795466
"December 21, 2019","Busan, South Korea","10,651",UFC Fight Night: Edgar vs. The Korean Zombie,http://www.ufcstats.com/event-details/74fefd43f073cd2f
"December 14, 2019","Las Vegas, Nevada, USA","16,811",UFC 245: Usman vs. Covington,http://www.ufcstats.com/event-details/4565d435005319c0
