Height,Weight,Reach,STANCE,DOB,name,link
"6' 3""",257 lbs.,--,Orthodox,"Jun 30, 1972",Fabiano Scherner,http://www.ufcstats.com/fighter-details/0bc7e61d204f2137
"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",Alexandre Dantas,http://www.ufcstats.com/fighter-details/8dc46e9a7895ce1a
"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",Kevin Burns,http://www.ufcstats.com/fighter-details/a6d8bfe9e0c8153b
"5' 7""",135 lbs.,--,Southpaw,"May 11, 1986",Joseph Sandoval,http://www.ufcstats.com/fighter-details/696002b59f09d73b
"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",Jose Aldo,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6
"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",Tyson Griffin,http://www.ufcstats.com/fighter-details/20205040232ed0f3
"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",Claudio Silva,http://www.ufcstats.com/fighter-details/6f7c616b98e18c29
"5' 10""",170 lbs.,--,Orthodox,"Sep 28, 1981",Sammy Morgan,http://www.ufcstats.com/fighter-details/2067a177a2842fbf
"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",Edwin DeWees,http://www.ufcstats.com/fighter-details/75bbd2206a15319f
"6' 4""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",Soa Palelei,http://www.ufcstats.com/fighter-details/60029bcf496bd707
"5' 9""",155 lbs.,--,Orthodox,"Sep 28, 1976",Din Thomas,http://www.ufcstats.com/fighter-details/40a604761ca7d64d
"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991",Brad Katona,http://www.ufcstats.com/fighter-details/7b433309b0fd12aa
"5' 11""",199 lbs.,--,Southpaw,"Mar 13, 1969",Yoshiki Takahashi,http://www.ufcstats.com/fighter-details/6420efac0578988b
"5' 5""",135 lbs.,--,Orthodox,"Dec 29, 1989",Sheila Gaff,http://www.ufcstats.com/fighter-details/837d30395faca41e
"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",Oskar Piechota,http://www.ufcstats.com/fighter-details/1cf7ccf64a5bf24e
"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",Valerie Letourneau,http://www.ufcstats.com/fighter-details/46a2f24feb258ae0
"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",Krzysztof Jotko,http://www.ufcstats.com/fighter-details/4e06913c91da5200
"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",Nina Ansaroff,http://www.ufcstats.com/fighter-details/d343df8ba11f4c4e
"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",Maryna Moroz,http://www.ufcstats.com/fighter-details/b4192a975027aab6
"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",Shane Campbell,http://www.ufcstats.com/fighter-details/784285b7ae7dd85f
"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989",Frank Camacho,http://www.ufcstats.com/fighter-details/764342d39cdaa54a
"5' 11""",170 lbs.,"73""",Orthodox,"Jun 03, 1986",Greg Soto,http://www.ufcstats.com/fighter-details/9c669abd35b2522f
"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",Viscardi Andrade,http://www.ufcstats.com/fighter-details/d221ee27afc7a60e
"5' 6""",135 lbs.,"69""",Orthodox,"Apr 01, 1993",Jin Soo Son,http://www.ufcstats.com/fighter-details/7c9c6a884be167fe
"6' 1""",225 lbs.,"73""",Orthodox,"Apr 04, 1984",Ike Villanueva,http://www.ufcstats.com/fighter-details/f9d0cae37dabfafc
"6' 5""",265 lbs.,--,Orthodox,"Jul 01, 1980",Christian Colombo,http://www.ufcstats.com/fighter-details/9123c54d0a2b72dd
"6' 3""",155 lbs.,"76""",Orthodox,"Feb 23, 1987",James Vick,http://www.ufcstats.com/fighter-details/6256b2b1562cb8e1
"6' 0""",205 lbs.,"74""",Orthodox,"Jan 02, 1979",Igor Pokrajac,http://www.ufcstats.com/fighter-details/53278852bcd91e11
"6' 2""",345 lbs.,--,Southpaw,"Jan 26, 1970",Dan Bobish,http://www.ufcstats.com/fighter-details/f348d05403fad037
"6' 0""",185 lbs.,"78""",Orthodox,"Apr 25, 1981",Clifford Starks,http://www.ufcstats.com/fighter-details/5abf827d62f98fee
"6' 1""",205 lbs.,--,Orthodox,"Feb 24, 1965",Bas Rutten,http://www.ufcstats.com/fighter-details/03688dc3c3af3ac1
"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",Jacare Souza,http://www.ufcstats.com/fighter-details/7a703c565ccaa18f
"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",Andre Soukhamthath,http://www.ufcstats.com/fighter-details/d0e50a3d1b250708
"5' 10""",170 lbs.,--,Orthodox,--,Stevie Lynch,http://www.ufcstats.com/fighter-details/710d93f1508f7104
"5' 6""",145 lbs.,--,Orthodox,"Jul 11, 1981",Josh Clopton,http://www.ufcstats.com/fighter-details/48e96d9cea6d4ab0
"5' 5""",145 lbs.,"69""",Orthodox,"Feb 03, 1988",Daniel Teymur,http://www.ufcstats.com/fighter-details/fbf0537e420e698e
"6' 5""",265 lbs.,"80""",Orthodox,"Jul 28, 1988",Greg Hardy,http://www.ufcstats.com/fighter-details/85073dbd1be65ed9
"6' 0""",190 lbs.,--,Orthodox,--,Mark Hall,http://www.ufcstats.com/fighter-details/18524b46c570730b
"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",Pablo Garza,http://www.ufcstats.com/fighter-details/8e5bfd4e82352340
